"Scientific_Name";"Duration";"Active_Growth_Period";"Foliage_Color";"pH_Min";"pH_Max";"Precip_Min";"Precip_Max";"Shade_Tolerance";"Temp_Min_F"
"Carex seorsa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carex shortiana";"Perennial";"Spring and Summer";"Green";4,7;6,9;32;55;"Intermediate";-18
"Carex siccata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carex silicea";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carex sparganioides";"Perennial";"Spring and Summer";"Dark Green";5;6,8;30;55;"Tolerant";-33
"Carex spicata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carex squarrosa";"Perennial";"Spring and Summer";"Green";5,6;7,3;34;55;"Tolerant";-28
"Carex stipata";"Perennial";"Spring and Summer";"Green";4,9;7,9;12;50;"Tolerant";-38
"Carex stipata var. maxima";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carex stipata var. stipata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carex straminea";"Perennial";"Spring and Summer";"Green";4,7;6,9;36;55;"Tolerant";-28
"Carex striata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carex striata var. brevis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carex striata var. striata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carex striatula";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carex stricta";"Perennial";"Spring";"Green";3,5;7;32;65;"Tolerant";-38
"Carex styloflexa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carex swanii";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carex tenera";"Perennial";"Spring and Summer";"Green";4,9;7;30;50;"Tolerant";-33
"Carex tetanica";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carex texensis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carex tonsa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carex tonsa var. rugosperma";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carex tonsa var. tonsa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carex torta";"Perennial";"Spring and Summer";"Green";5;7;32;50;"Tolerant";-33
"Carex tribuloides";"Perennial";"Spring and Summer";"Green";4,8;7;32;50;"Tolerant";-28
"Carex tribuloides var. sangamonensis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carex tribuloides var. tribuloides";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carex trichocarpa";"Perennial";"Spring and Summer";"Green";5,7;7;18;55;"Intermediate";-33
"Carex trisperma";"Perennial";"Spring and Summer";"Green";4,5;6,8;32;55;"Tolerant";-33
"Carex trisperma var. trisperma";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carex tuckermanii";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carex typhina";"Perennial";"Spring and Summer";"Green";5,7;7;32;55;"Tolerant";-28
"Carex umbellata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carex utriculata";"Perennial";"Spring, Summer, Fall";"Green";5,7;7,7;18;60;"Intolerant";-43
"Carex venusta";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carex venusta var. minor";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carex verrucosa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carex vesicaria";"Perennial";"Spring and Summer";"Green";4,5;7,5;8;40;"Intermediate";-38
"Carex vestita";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carex virescens";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carex viridula";"Perennial";"Spring and Summer";"Green";4,5;7,5;8;40;"Intolerant";-38
"Carex vulpinoidea";"Perennial";"Spring";"Green";6,8;8,9;12;65;"Intermediate";-38
"Carex vulpinoidea var. vulpinoidea";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carex willdenowii";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carex woodii";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carpinus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Carpinus caroliniana";"Perennial";"Spring and Summer";"Green";4;7,4;23;80;"Tolerant";-34
"Carpinus caroliniana ssp. caroliniana";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carpinus caroliniana ssp. virginiana";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Carum carvi";"Biennial, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carya";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Carya cordiformis";"Perennial";"Spring and Summer";"Green";4,8;7,4;25;70;"Intolerant";-47
"Carya glabra";"Perennial";"Spring and Summer";"Green";4,8;7,3;30;80;"Intermediate";-30
"Carya illinoinensis";"Perennial";"Spring and Summer";"Yellow-Green";4,5;7,5;28;79;"Intolerant";-21
"Carya laciniosa";"Perennial";"Spring and Summer";"Green";5;6,6;30;60;"Tolerant";-22
"Carya ovalis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carya ovata";"Perennial";"Spring and Summer";"Green";4;7,3;29;80;"Intermediate";-40
"Carya pallida";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Carya tomentosa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Castanea";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Castanea dentata";"Perennial";"Spring";"Yellow-Green";5,5;6,5;35;60;"Intolerant";-33
"Castanea ×neglecta";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Castanea pumila";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Castanea pumila var. pumila";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Castilleja";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Castilleja coccinea";"Annual";"Spring and Summer";"Green";4,9;6,8;25;55;"Tolerant";-28
"Catalpa";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Catalpa bignonioides";"Perennial";"Spring";"Green";5,5;7,5;30;65;"Intermediate";-18
"Catalpa ovata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Catalpa speciosa";"Perennial";"Spring";"Dark Green";5,5;7;20;80;"Intolerant";-38
"Caulophyllum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Caulophyllum thalictroides";"Perennial";"Spring and Summer";"Green";4,5;7;35;60;"Tolerant";-33
"Ceanothus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ceanothus americanus";"Perennial";"Spring and Summer";"Green";4,3;6,5;25;60;"Tolerant";-28
"Celastrus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Celastrus orbiculatus";"Perennial";"Spring and Summer";"Green";5;7,5;30;60;"Tolerant";-38
"Celastrus scandens";"Perennial";"Spring and Summer";"Green";5;7,5;30;60;"Tolerant";-38
"Celosia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Celosia argentea";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Celtis";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Celtis laevigata";"Perennial";"Spring and Summer";"Green";4,4;7,7;20;80;"Tolerant";-21
"Celtis laevigata var. laevigata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Celtis occidentalis";"Perennial";"Spring and Summer";"Green";6;7,8;14;60;"Tolerant";-47
"Celtis tenuifolia";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Cenchrus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Cenchrus echinatus";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Cenchrus longispinus";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Cenchrus spinifex";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Cenchrus tribuloides";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Centaurea";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Centaurea calcitrapa";"Annual, Biennial, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Centaurea cineraria";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Centaurea cyanus";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Centaurea depressa";"Annual, Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Centaurea jacea";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Centaurea nigra";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Centaurea nigrescens";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Centaurea scabiosa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Centaurea solstitialis";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Centaurea stoebe";"Biennial, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Centaurea stoebe ssp. micranthos";"Biennial, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Centaurium";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Centaurium erythraea";"Annual, Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Centaurium pulchellum";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Centaurium spicatum";"Annual, Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Centella";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Centella erecta";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Centrosema";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Centrosema virginianum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Cephalanthus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Cephalanthus occidentalis";"Perennial";"Spring";"Green";4,7;8,6;20;80;"Tolerant";-33
"Cerastium";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Cerastium arvense";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Cerastium arvense ssp. strictum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Cerastium arvense ssp. velutinum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Cerastium arvense ssp. velutinum var. velutinum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Cerastium fontanum";"Biennial, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Cerastium fontanum ssp. vulgare";"Biennial, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Cerastium glomeratum";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Cerastium nutans";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Cerastium nutans var. nutans";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Cerastium pumilum";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Cerastium semidecandrum";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Ceratophyllum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ceratophyllum demersum";"Perennial";"Summer";"Gray-Green";6;8,6;10;55;"Intermediate";-38
"Ceratophyllum echinatum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Cercis";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Cercis canadensis";"Perennial";"Spring and Summer";"Green";5;7,9;20;80;"Tolerant";-28
"Cercis canadensis var. canadensis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Chaenomeles";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Chaenomeles japonica";"Perennial";"Spring and Summer";"Green";4,5;8;32;60;"Intermediate";-43
"Chaenorhinum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Chaenorhinum minus";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chaerophyllum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Chaerophyllum procumbens";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chaerophyllum procumbens var. procumbens";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chaerophyllum procumbens var. shortii";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chaerophyllum tainturieri";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chaerophyllum tainturieri var. tainturieri";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chaiturus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Chaiturus marrubiastrum";"Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Chamaecrista";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Chamaecrista fasciculata";"Annual";"Spring";"Green";5,5;7,5;14;45;"Tolerant";-3
"Chamaecrista fasciculata var. fasciculata";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chamaecrista fasciculata var. macrosperma";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chamaecrista nictitans";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Chamaecrista nictitans ssp. nictitans";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Chamaecrista nictitans ssp. nictitans var. nictitans";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Chamaecyparis";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Chamaecyparis thyoides";"Perennial";"Spring and Summer";"Green";3,5;6,3;40;70;"Intermediate";-36
"Chamaedaphne";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Chamaedaphne calyculata";"Perennial";"Spring and Summer";"Yellow-Green";5;6;35;70;"Intermediate";-28
"Chamaelirium";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Chamaelirium luteum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Chamaesyce";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Chamaesyce hirta";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chamaesyce humistrata";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chamaesyce hypericifolia";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chamaesyce hyssopifolia";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Chamaesyce maculata";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chamaesyce nutans";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Chamaesyce polygonifolia";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chamaesyce prostrata";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Chamaesyce vermiculata";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chamerion";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Chamerion angustifolium";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Chamerion angustifolium ssp. circumvagum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Chasmanthium";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Chasmanthium latifolium";"Perennial";"Spring";"Green";5;7;24;65;"Tolerant";-33
"Chasmanthium laxum";"Perennial";"Spring";"Green";4,5;7;35;60;"Tolerant";-33
"Cheilanthes";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Cheilanthes lanosa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Chelidonium";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Chelidonium majus";"Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Chelidonium majus var. majus";"Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Chelone";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Chelone glabra";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Chelone obliqua";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Chelone obliqua var. obliqua";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Chenopodium";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Chenopodium album";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chenopodium album var. album";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chenopodium album var. missouriense";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chenopodium berlandieri";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chenopodium berlandieri var. bushianum";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chenopodium berlandieri var. macrocalycium";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chenopodium bonus-henricus";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chenopodium carnosulum";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chenopodium carnosulum var. patagonicum";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chenopodium glaucum";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chenopodium macrospermum";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chenopodium macrospermum var. farinosum";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chenopodium murale";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chenopodium opulifolium";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chenopodium polyspermum";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chenopodium polyspermum var. obtusifolium";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chenopodium pratericola";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chenopodium rubrum";"Annual";"Spring and Summer";"Green";6;8,5;20;60;"Intolerant";52
"Chenopodium simplex";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chenopodium standleyanum";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chenopodium subglabrum";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chenopodium urbicum";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chenopodium vulvaria";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chimaphila";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Chimaphila maculata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Chimaphila umbellata";"Perennial";"Summer";"Green";5,4;7,4;30;55;"Tolerant";-38
"Chimaphila umbellata ssp. cisatlantica";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Chionanthus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Chionanthus virginicus";"Perennial";"Spring and Summer";"Green";4,5;6,5;35;60;"Tolerant";-30
"Chloris";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Chloris verticillata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Chloris virgata";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chondrilla";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Chondrilla juncea";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Chrozophora";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Chrozophora tinctoria";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Chrysogonum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Chrysogonum virginianum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Chrysogonum virginianum var. virginianum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Chrysopsis";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Chrysopsis mariana";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Chrysosplenium";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Chrysosplenium americanum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Cicer";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Cicer arietinum";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Cichorium";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Cichorium intybus";"Biennial, Perennial";"Summer";"Green";6;7,5;20;60;"Intolerant";-43
"Cicuta";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Cicuta bulbifera";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Cicuta maculata";"Biennial, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Cicuta maculata var. maculata";"Biennial, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Cinna";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Cinna arundinacea";"Perennial";"Spring";"Green";4;8,5;18;60;"Tolerant";-33
"Cinna latifolia";"Perennial";"Spring, Summer, Fall";"Green";4,7;7;16;60;"Intermediate";-38
"Circaea";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Circaea alpina";"Perennial";"Summer";"Green";5;6,6;16;55;"Tolerant";-38
"Circaea alpina ssp. alpina";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Circaea ×intermedia";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Circaea lutetiana";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Circaea lutetiana ssp. canadensis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Cirsium";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Cirsium altissimum";"Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Cirsium arvense";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Cirsium discolor";"Biennial, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Cirsium horridulum";"Annual, Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Cirsium horridulum var. horridulum";"Annual, Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Cirsium muticum";"Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Cirsium pumilum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Cirsium vulgare";"Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Citrullus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Citrullus lanatus";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Citrullus lanatus var. lanatus";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Cladium";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Cladium mariscoides";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Cladonia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Cladonia cristatella";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Claytonia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Claytonia caroliniana";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Claytonia caroliniana var. caroliniana";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Claytonia virginica";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Claytonia virginica var. hammondiae";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Claytonia virginica var. virginica";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Claytonia virginica var. virginica f. lutea";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Cleistes";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Cleistes divaricata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Clematis";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Clematis occidentalis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Clematis occidentalis var. occidentalis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Clematis ochroleuca";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Clematis terniflora";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Clematis viorna";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Clematis virginiana";"Perennial";"Spring and Summer";"Green";5;6,8;32;55;"Intermediate";-38
"Clematis vitalba";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Cleome";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Cleome hassleriana";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Cleome ornithopodioides";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Cleome viscosa";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Clerodendrum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Clerodendrum japonicum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Clethra";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Clethra alnifolia";"Perennial";"Spring and Summer";"Green";4,5;7;35;60;"Intermediate";-23
"Clinopodium";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Clinopodium vulgare";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Clintonia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Clintonia borealis";"Perennial";"Spring";"Green";5;6,8;32;55;"Intolerant";-33
"Clintonia umbellulata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Clitoria";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Clitoria mariana";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Cnicus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Cnicus benedictus";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Coelorachis";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Coelorachis rugosa";"Perennial";"Spring and Summer";"Green";5;7;45;80;"Intermediate";-8
"Coincya";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Coincya monensis";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Coincya monensis ssp. recurvata";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Colchicum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Colchicum autumnale";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Collinsonia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Collinsonia canadensis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Comandra";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Comandra umbellata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Comandra umbellata ssp. umbellata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Commelina";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Commelina caroliniana";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Commelina communis";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Commelina diffusa";"Annual, Perennial";"Summer";"Yellow-Green";5,2;7,2;32;60;"Tolerant";47
"Commelina diffusa var. diffusa";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Commelina erecta";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Commelina erecta var. erecta";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Commelina virginica";"Perennial";"Summer and Fall";"Green";4,7;6,7;36;55;"Tolerant";-18
"Comptonia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Comptonia peregrina";"Perennial";"Summer";"Green";4;7;30;60;"Intermediate";-38
"Conium";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Conium maculatum";"Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Conoclinium";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Conoclinium coelestinum";"Perennial";"Summer";"Green";5,5;7,5;24;60;"Tolerant";-13
"Conopholis";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Conopholis americana";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Conringia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Conringia orientalis";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Consolida";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Consolida ajacis";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Consolida regalis";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Convallaria";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Convallaria majalis";"Perennial";"Summer";"Green";5,5;7,5;32;65;"Tolerant";-33
"Convolvulus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Convolvulus arvensis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
